incident_unique_id,eyear,state,incidentnum,incidentname,emonth,eday,edoy,syear,smonth,sday,sdoy,area_km2,costs,fatalities,home.destroyed,home.threat,home.damage,comm.destroyed,comm.threat,comm.damage,max.pers,max.aerial,tot.pers,tot.aerial,max.agency.support,cause,confidence,geometry
"AK-MID-000109|2013|1",2013,,AK-MID-000109,Moose Creek,6,31,153,2013,5,29,149,0.016996812,86520,0,0,0,0,0,0,0,51,0,115,0,4,Human,H,-2769659.08902536|3664272.36513638
"AK-MID-000117|2013|1",2013,,AK-MID-000117,Mississippi,11,31,306,2013,5,30,150,274.01693746,1.5e+07,0,0,126,0,0,0,0,506,0,5300,0,10,Human,H,-2758987.15326055|3570478.93739123
"AK-MID-000280|2013|1",2013,,AK-MID-000280,Stuart Creek #2,8,31,235,2013,6,19,170,3456.7266405,2.5e+07,0,3,750,0,0,12,0,796,0,21759,0,11,Human,H,-2744220.92496333|3649690.85346024
"AK-MSS-301129|2013|1",2013,,AK-MSS-301129,Point MacKenzie,6,31,156,2013,5,30,150,0.1821087,249863,0,1,3,0,0,0,0,44,0,178,0,1,Human,H,-3083760.49293315|3487289.73603207
"AK-MSS-301207|2013|1",2013,,AK-MSS-301207,Nakochna River,6,12,163,2013,6,10,161,0.3035145,88148,0,0,0,0,0,0,0,20,0,42,0,2,Lightning,H,-3142986.49435709|3616045.53039665
"AK-MSS-301417|2013|1",2013,,AK-MSS-301417,Wantana,6,30,181,2013,6,26,177,0.15782754,150000,0,0,0,0,0,0,0,21,0,63,0,2,Lightning,H,-2930772.19533498|3553904.29562765
"AK-SWS-304|2013|1",2013,,AK-SWS-304,Moose Creek,6,22,173,2013,6,22,173,0.0202343,0,0,0,0,0,0,0,0,8,0,8,0,1,Lightning,H,-3383372.64029116|3744229.91063211
"AK-SWS-304123|2013|1",2013,,AK-SWS-304123,Doestock Creek,6,28,179,2013,5,30,150,117.75957914,11011,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3537105.16541574|3788057.40798055
"AK-SWS-304131|2013|1",2013,,AK-SWS-304131,George River,6,20,171,2013,5,30,150,2.3674131,3185,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3385786.63522058|3804074.97172948
"AK-SWS-304135|2013|1",2013,,AK-SWS-304135,fISH 2,6,24,175,2013,5,31,151,44.51546,17205,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3622566.9252662|3844443.27744613
